$
HA=1,HC=826617,HB=3485,HD=20210809,HI=104425,HO=,HM=71,IS=XPLOG GeoTech AB 20161104,IK=1.0,HK=21s07,HQ=Johan,CH0=25,CH1=6,CH2=100,CH3=10000,CH4=25,CH5=25
#
D=0.025,A=1.767,W=1.767,AK=104734,AKZ=263,B=1.4,C=147.5,R=70,P=0.707,PR=0.000,SP=0.079
D=0.050,A=2.017,W=2.017,AK=104734,AKZ=265,B=79.0,C=2.5,R=69,P=0.715,PR=0.000,SP=0.081
D=0.075,A=2.127,W=2.127,AK=104734,AKZ=269,B=73.3,C=2.7,R=69,P=0.729,PR=0.000,SP=0.086
D=0.100,A=2.527,W=2.527,AK=104735,AKZ=272,B=53.1,C=3.8,R=69,P=1.959,PR=0.000,SP=0.051
D=0.125,A=2.017,W=2.017,AK=104735,AKZ=276,B=43.1,C=4.6,R=32,P=0.667,PR=0.000,SP=0.097
D=0.150,A=2.357,W=2.357,AK=104736,AKZ=280,B=74.0,C=2.7,R=69,P=0.722,PR=0.000,SP=0.094
D=0.175,A=2.477,W=2.477,AK=104736,AKZ=282,B=94.8,C=2.1,R=69,P=0.719,PR=0.000,SP=0.094
D=0.200,A=2.667,W=2.667,AK=104736,AKZ=286,B=95.5,C=2.1,R=69,P=0.703,PR=0.000,SP=0.109
D=0.225,A=3.197,W=3.197,AK=104736,AKZ=288,B=83.3,C=2.4,R=69,P=0.744,PR=0.000,SP=0.105
D=0.250,A=3.877,W=3.877,AK=104737,AKZ=290,B=81.8,C=2.4,R=69,P=0.807,PR=0.000,SP=0.112
D=0.275,A=5.267,W=5.267,AK=104737,AKZ=292,B=107.1,C=1.9,R=69,P=1.286,PR=0.000,SP=0.076
D=0.300,A=4.697,W=4.697,AK=104737,AKZ=296,B=75.7,C=2.6,R=69,P=0.777,PR=0.000,SP=0.098
D=0.325,A=3.337,W=3.337,AK=104738,AKZ=301,B=46.8,C=4.3,R=68,P=0.711,PR=0.000,SP=0.089
D=0.350,A=3.737,W=3.737,AK=104738,AKZ=305,B=75.1,C=2.7,R=69,P=0.709,PR=0.000,SP=0.103
D=0.375,A=3.767,W=3.767,AK=104738,AKZ=307,B=106.2,C=1.9,R=69,P=0.676,PR=0.000,SP=0.094
D=0.400,A=3.867,W=3.867,AK=104739,AKZ=309,B=134.8,C=1.5,R=68,P=0.670,PR=0.000,SP=0.101
D=0.425,A=3.827,W=3.827,AK=104739,AKZ=311,B=135.1,C=1.5,R=68,P=0.667,PR=0.000,SP=0.125
D=0.450,A=3.997,W=3.997,AK=104739,AKZ=313,B=135.8,C=1.5,R=69,P=0.681,PR=0.000,SP=0.110
D=0.475,A=3.997,W=3.997,AK=104739,AKZ=313,B=135.8,C=1.5,R=69,P=0.681,PR=0.000,SP=0.110
D=0.500,A=4.227,W=4.227,AK=104739,AKZ=315,B=140.5,C=1.4,R=69,P=0.686,PR=0.000,SP=0.130
D=0.525,A=4.327,W=4.327,AK=104740,AKZ=317,B=142.0,C=1.4,R=68,P=0.674,PR=0.000,SP=0.141
D=0.550,A=4.437,W=4.437,AK=104740,AKZ=319,B=161.6,C=1.2,R=68,P=0.659,PR=0.000,SP=0.130
D=0.575,A=4.427,W=4.427,AK=104740,AKZ=321,B=164.0,C=1.2,R=68,P=0.701,PR=0.000,SP=0.130
D=0.600,A=4.427,W=4.427,AK=104740,AKZ=321,B=164.0,C=1.2,R=68,P=0.701,PR=0.000,SP=0.130
D=0.625,A=4.407,W=4.407,AK=104740,AKZ=323,B=156.9,C=1.3,R=68,P=0.723,PR=0.000,SP=0.125
D=0.650,A=4.447,W=4.447,AK=104740,AKZ=325,B=153.6,C=1.3,R=68,P=0.714,PR=0.000,SP=0.135
D=0.675,A=4.587,W=4.587,AK=104741,AKZ=327,B=142.9,C=1.4,R=68,P=0.715,PR=0.000,SP=0.126
D=0.700,A=4.587,W=4.587,AK=104741,AKZ=327,B=142.9,C=1.4,R=68,P=0.715,PR=0.000,SP=0.126
D=0.725,A=4.777,W=4.777,AK=104741,AKZ=329,B=135.5,C=1.5,R=68,P=0.706,PR=0.000,SP=0.135
D=0.750,A=4.697,W=4.697,AK=104741,AKZ=331,B=117.5,C=1.7,R=68,P=0.661,PR=0.000,SP=0.098
D=0.775,A=4.707,W=4.707,AK=104741,AKZ=333,B=127.6,C=1.6,R=68,P=0.688,PR=0.000,SP=0.123
D=0.800,A=4.647,W=4.647,AK=104741,AKZ=334,B=135.7,C=1.5,R=68,P=0.679,PR=0.000,SP=0.137
D=0.825,A=4.797,W=4.797,AK=104742,AKZ=336,B=150.7,C=1.3,R=68,P=0.634,PR=0.000,SP=0.101
D=0.850,A=4.837,W=4.837,AK=104742,AKZ=338,B=164.5,C=1.2,R=68,P=0.679,PR=0.000,SP=0.135
D=0.875,A=4.837,W=4.837,AK=104742,AKZ=338,B=164.5,C=1.2,R=68,P=0.679,PR=0.000,SP=0.135
D=0.900,A=4.697,W=4.697,AK=104742,AKZ=340,B=139.2,C=1.4,R=68,P=0.714,PR=0.000,SP=0.090
D=0.925,A=3.987,W=3.987,AK=104742,AKZ=342,B=109.6,C=1.8,R=68,P=0.674,PR=0.000,SP=0.108
D=0.950,A=3.607,W=3.607,AK=104743,AKZ=344,B=105.7,C=1.9,R=68,P=0.690,PR=0.000,SP=0.081
D=0.975,A=3.647,W=3.647,AK=104743,AKZ=346,B=137.3,C=1.5,R=69,P=0.683,PR=0.000,SP=0.123
D=1.000,A=3.367,W=3.367,AK=104743,AKZ=348,B=152.1,C=1.3,R=69,P=0.670,PR=0.000,SP=0.103
D=1.025,A=3.417,W=3.417,AK=104743,AKZ=350,B=148.3,C=1.3,R=69,P=0.665,PR=0.000,SP=0.152
D=1.050,A=3.587,W=3.587,AK=104743,AKZ=352,B=146.7,C=1.4,R=69,P=0.676,PR=0.000,SP=0.079
D=1.075,A=3.767,W=3.767,AK=104744,AKZ=354,B=145.3,C=1.4,R=69,P=0.712,PR=0.000,SP=0.146
D=1.100,A=3.767,W=3.767,AK=104744,AKZ=354,B=145.3,C=1.4,R=69,P=0.712,PR=0.000,SP=0.146
D=1.125,A=4.077,W=4.077,AK=104744,AKZ=356,B=144.3,C=1.4,R=69,P=0.656,PR=0.000,SP=0.132
D=1.150,A=4.217,W=4.217,AK=104744,AKZ=358,B=149.1,C=1.3,R=69,P=0.663,PR=0.000,SP=0.116
D=1.175,A=4.077,W=4.077,AK=104744,AKZ=360,B=143.3,C=1.4,R=69,P=0.688,PR=0.000,SP=0.141
D=1.200,A=3.927,W=3.927,AK=104744,AKZ=362,B=139.8,C=1.4,R=68,P=0.703,PR=0.000,SP=0.107
D=1.225,A=3.927,W=3.927,AK=104744,AKZ=362,B=139.8,C=1.4,R=68,P=0.703,PR=0.000,SP=0.107
D=1.250,A=3.757,W=3.757,AK=104745,AKZ=364,B=138.1,C=1.4,R=68,P=0.710,PR=0.000,SP=0.119
D=1.275,A=3.617,W=3.617,AK=104745,AKZ=366,B=134.9,C=1.5,R=69,P=0.706,PR=0.000,SP=0.155
D=1.300,A=3.437,W=3.437,AK=104745,AKZ=367,B=133.6,C=1.5,R=69,P=0.679,PR=0.000,SP=0.145
D=1.325,A=3.427,W=3.427,AK=104745,AKZ=369,B=128.6,C=1.6,R=69,P=0.683,PR=0.000,SP=0.116
D=1.350,A=3.607,W=3.607,AK=104745,AKZ=371,B=131.1,C=1.5,R=69,P=0.676,PR=0.000,SP=0.119
D=1.375,A=3.797,W=3.797,AK=104746,AKZ=373,B=128.9,C=1.6,R=69,P=0.686,PR=0.000,SP=0.114
D=1.400,A=3.857,W=3.857,AK=104746,AKZ=375,B=131.0,C=1.5,R=69,P=0.708,PR=0.000,SP=0.108
D=1.425,A=3.877,W=3.877,AK=104746,AKZ=377,B=128.8,C=1.6,R=69,P=0.654,PR=0.000,SP=0.092
D=1.450,A=3.497,W=3.497,AK=104746,AKZ=379,B=83.0,C=2.4,R=69,P=0.695,PR=0.000,SP=0.141
D=1.475,A=2.847,W=2.847,AK=104758,AKZ=486,B=72.6,C=2.8,R=68,P=0.736,PR=0.000,SP=0.172
D=1.500,A=2.647,W=2.647,AK=104758,AKZ=488,B=72.9,C=2.7,R=69,P=0.739,PR=0.000,SP=0.123
D=1.525,A=2.477,W=2.477,AK=104759,AKZ=492,B=63.6,C=3.1,R=69,P=0.781,PR=0.000,SP=0.088
D=1.550,A=2.827,W=2.827,AK=104759,AKZ=494,B=106.6,C=1.9,R=69,P=0.732,PR=0.000,SP=0.117
D=1.575,A=3.237,W=3.237,AK=104759,AKZ=497,B=121.6,C=1.6,R=69,P=0.773,PR=0.000,SP=0.099
D=1.600,A=3.237,W=3.237,AK=104759,AKZ=497,B=121.6,C=1.6,R=69,P=0.773,PR=0.000,SP=0.099
D=1.625,A=3.117,W=3.117,AK=104759,AKZ=499,B=127.1,C=1.6,R=69,P=0.744,PR=0.000,SP=0.134
D=1.650,A=2.977,W=2.977,AK=104800,AKZ=501,B=128.8,C=1.6,R=68,P=0.764,PR=0.000,SP=0.125
D=1.675,A=2.967,W=2.967,AK=104800,AKZ=503,B=123.0,C=1.6,R=68,P=0.786,PR=0.000,SP=0.126
D=1.700,A=3.107,W=3.107,AK=104800,AKZ=505,B=124.4,C=1.6,R=69,P=0.757,PR=0.000,SP=0.108
D=1.725,A=3.237,W=3.237,AK=104800,AKZ=507,B=123.2,C=1.6,R=69,P=0.775,PR=0.000,SP=0.134
D=1.750,A=3.137,W=3.137,AK=104801,AKZ=509,B=125.7,C=1.6,R=68,P=0.719,PR=0.000,SP=0.108
D=1.775,A=3.017,W=3.017,AK=104801,AKZ=511,B=125.2,C=1.6,R=68,P=0.753,PR=0.000,SP=0.108
